suite,model,study,best_epoch,val_loss,spearman,pred_sd,arm
ar_encoding__electronics__ar_bounded_52__c,LSTM,5,9.0,0.0902410093694925,-0.15338421547570183,0.19949394935735967,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,14,17.0,0.0895666170578736,0.2378227860763305,0.48519933461186215,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,10,25.0,0.0891050259981836,0.20027140756244485,0.36917479279369925,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,12,22.0,0.0887187240788569,0.2884876043515345,0.5387098994903615,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,16,38.0,0.0871088448911905,0.18145756556501785,0.34619056507551355,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,15,18.0,0.0899441412517002,0.20043963064413664,0.37744498003829063,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,20,11.0,0.0898686558581315,0.2697860981881173,0.5994780121330645,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,8,27.0,0.0895414137496398,0.25865810472955403,0.49166550542212695,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,6,35.0,0.0883099819932665,0.22700686971789516,0.4276379367597727,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,9,12.0,0.089972695765587,0.22436093054644501,0.6976783153537983,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__c,LSTM,13,33.0,0.0886849548135485,0.2575564742747085,0.5830403438716922,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__d,LSTM,19,29.0,0.0896238727228982,0.2498132335597401,0.4225722715871158,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__d,LSTM,7,30.0,0.0890002005866595,0.3033612758222305,0.6139701478898779,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__d,LSTM,4,29.0,0.0893934392012082,0.27549240268923775,0.6992903267262864,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__d,LSTM,17,28.0,0.0898405210329936,0.27837974597440585,0.7513170245371396,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__d,LSTM,18,22.0,0.0902368844701693,0.0829449983852641,0.255804136732878,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__d,LSTM,11,27.0,0.0905748373613907,0.16505951640745348,0.41833731783738304,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__d,LSTM,2,24.0,0.0878660966243062,0.2830817209515348,0.44884418485980926,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__d,LSTM,1,21.0,0.0896432537298936,0.21554258717831506,0.7517348687698007,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__d,LSTM,3,15.0,0.0910605434328317,-0.1618384448013317,0.16184068490699513,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__d,LSTM,5,19.0,0.0899134083436085,0.195637927461688,0.3286301441842642,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__d,LSTM,14,35.0,0.0884105414152145,0.09884394467603289,0.25919353712072063,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__d,LSTM,10,19.0,0.0882152159299169,0.2507992867486669,0.45987645086896956,ar_encoding__electronics__ar_bounded_52
ar_encoding__electronics__ar_bounded_52__d,LSTM,12,25.0,0.0898927238125067,0.22840242114696357,0.369277302187083,ar_encoding__electronics__ar_bounded_52
